198 107 40 40 : x, y , edge_x, edge_y
134 68 40 40 : x, y , edge_x, edge_y
43 48 40 40 : x, y , edge_x, edge_y
7 95 40 40 : x, y , edge_x, edge_y
32 145 40 40 : x, y , edge_x, edge_y
90 116 40 40 : x, y , edge_x, edge_y
343 87 40 40 : x, y , edge_x, edge_y
339 27 40 40 : x, y , edge_x, edge_y
445 27 40 40 : x, y , edge_x, edge_y
196 212 40 40 : x, y , edge_x, edge_y
133 179 40 40 : x, y , edge_x, edge_y
282 140 40 40 : x, y , edge_x, edge_y
15 203 40 40 : x, y , edge_x, edge_y
320 187 40 40 : x, y , edge_x, edge_y
231 52 40 40 : x, y , edge_x, edge_y
448 181 40 40 : x, y , edge_x, edge_y